latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
28.19001,9.80506,325.84,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,292.99,1.86,N
28.60162,7.25758,321.87,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,294.49,1.26,N
28.5585,7.51631,329.39,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,295.52,1.62,N
28.47819,7.50957,313.95,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,295.02,1.08,N
28.46828,7.5076,318.71,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,295.09,1.32,N
28.45654,7.51738,328.34,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,295.29,1.94,N
28.08052,9.78682,329.87,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,295.99,3.66,N
28.07715,9.78607,315.98,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.77,1.17,N
28.4334,7.51278,303.81,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,293.68,0.35,N
27.92549,9.25284,323.49,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,293.25,1.94,N
27.92616,9.24884,315.54,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,292.86,1.94,N
27.7272,9.88015,306.16,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.8,0.45,N
27.7238,9.8794,308.23,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.72,0.45,N
27.67204,9.87379,316.14,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.87,1.08,N
27.75923,9.18157,329.89,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.13,5.05,N
27.75856,9.18556,324.15,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,293.95,5.05,N
27.75657,9.17687,329.45,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.68,11.68,N
27.75589,9.18085,310.68,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,295.82,5.05,N
27.75522,9.18484,308.01,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,292.64,5.05,N
27.73517,9.18056,338.24,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,295.17,4.09,N
27.70368,9.1752,322.04,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,295.1,1.84,N
27.40972,8.8368,315.1,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,295.45,0.76,N
26.7587,12.41214,310.84,0.54,0.42,2026-09-18,0124,N,nominal,2.0NRT,293.67,8.06,N
26.75486,12.41127,344.26,0.54,0.42,2026-09-18,0124,N,nominal,2.0NRT,296.35,8.06,N
26.35713,14.27962,327.01,0.46,0.47,2026-09-18,0124,N,nominal,2.0NRT,292.76,3.82,N
26.70225,12.4545,327.07,0.54,0.42,2026-09-18,0124,N,nominal,2.0NRT,292.87,2.69,N
26.69841,12.45357,325.96,0.54,0.42,2026-09-18,0124,N,nominal,2.0NRT,292.32,2.69,N
26.69821,12.45243,308.09,0.54,0.42,2026-09-18,0124,N,nominal,2.0NRT,291.75,1.38,N
26.57901,12.21122,309.51,0.53,0.42,2026-09-18,0124,N,nominal,2.0NRT,294.04,1.22,N
27.14939,8.80512,315.67,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,295,1.1,N
26.43355,11.84992,317.21,0.51,0.41,2026-09-18,0124,N,nominal,2.0NRT,294.73,1.49,N
26.03057,11.97801,308.54,0.52,0.42,2026-09-18,0126,N,nominal,2.0NRT,293.41,0.99,N
24.47264,9.5353,303.05,0.43,0.38,2026-09-18,0126,N,nominal,2.0NRT,290.93,0.5,N
12.57699,-7.94491,303.31,0.55,0.68,2026-09-18,0130,N,nominal,2.0NRT,269.48,1.84,N
12.57061,-7.94564,297.26,0.55,0.68,2026-09-18,0130,N,nominal,2.0NRT,269.48,1.13,N
52.46775,7.31892,300.3,0.42,0.45,2026-09-18,0117,N,nominal,2.0NRT,284.81,0.94,N
52.49399,4.61652,319.94,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,285.47,2.45,N
52.48926,4.61576,299.97,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,284.16,0.98,N
52.48586,4.59043,324.85,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,283.63,2.1,N
52.48631,4.58211,303.62,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,283.73,2.1,N
52.48113,4.58967,322.31,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,283.28,2.62,N
52.48157,4.58139,296.26,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,283.07,2.62,N
52.47552,4.60526,312.65,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,284.64,1.88,N
52.49422,4.61105,307.72,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,285.34,1.67,N
52.49374,4.61926,311.37,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,284.5,1.67,N
52.48621,4.58504,332.52,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,284.66,3.36,N
52.48147,4.58426,320.77,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,283.26,1.25,N
